Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Class
0.000162576491222445,4.96993987975951e-08,2.17334669338677e-07,4.96993987975951e-08,3.64203406813627e-07,1.8287871743487e-07,7.74427254509018e-06,5.84952166733466e-05,1.25e-08,6.07271643286571e-06,0
0.000285333822645291,2.49498997995992e-08,2.9746993987976e-07,3.73496993987976e-08,3.86047094188377e-07,1.97357350701403e-06,7.73159392384769e-05,7.15677570741483e-05,2.78144929859719e-07,1.53510115831663e-05,0
0.000525729509258516,6.10597466399072e-35,2.86172344689379e-07,3.73496993987977e-08,3.53206412825651e-07,1.98401138276554e-06,8.92011191983967e-05,7.3409577995992e-05,1.00535194388777e-06,1.7829998997996e-05,0
0.000286870884609219,6.10597466399072e-35,2.63426853707415e-07,6.1998997995992e-08,3.64203406813627e-07,1.25e-08,9.71516044488978e-05,4.59091262124248e-05,2.76223691382766e-06,1.70031847294589e-05,0
4.60436488977956e-06,1.2682296993988e-06,8.67257024048094e-05,6.19989979959918e-08,3.64203406813627e-07,2.49498997995992e-08,0.000341546811863728,7.67126326252505e-05,0.000244997389779559,3.24980030460922e-05,0
4.77529663326655e-06,1.2682296993988e-06,8.79463713026053e-05,6.1998997995992e-08,2.74824649298597e-07,2.49498997995992e-08,0.000478826265771543,6.59472562725451e-05,0.000265025026693386,3.46619983567134e-05,0
6.54690256513026e-06,7.74324585170341e-06,0.00198361484553106,4.96993987975952e-08,2.17334669338677e-07,4.96993987975952e-08,0.000477591433226453,6.59948647294589e-05,0.00536921148793587,3.94121120641283e-05,0
9.43079743486973e-06,0.000273864668376753,0.00358552484024048,4.96993987975951e-08,1.82239478957915e-07,4.96993987975954e-08,0.000414866143286573,8.16843226853707e-05,0.00733916784913828,5.07332166733467e-05,0
5.22389879759521e-06,0.000267907499639277,0.00345525205527054,3.73496993987977e-08,2.74824649298597e-07,6.10597466399072e-35,0.000467060130300601,6.88482187975952e-05,0.00620186324052105,8.47487202805611e-05,0
4.21366328657315e-06,7.59564569138274e-07,0.000633006819198392,6.10597466399072e-35,3.31062124248497e-07,6.10597466399072e-35,0.000501755533306613,5.72744166733467e-05,0.00181973602501001,8.53320921442885e-05,0
6.14409234468938e-06,6.19989979959919e-08,3.30641987975952e-06,7.4248496993988e-08,2.28932865731463e-07,1.25e-08,0.000368962697354709,5.3717110220441e-05,1.08610242885772e-05,3.84554598797595e-05,0
3.22659955911823e-06,2.49498997995992e-08,5.51403907815632e-06,8.64478957915832e-08,2.63426853707415e-07,2.49498997995992e-08,0.000162518291743487,6.02811717835671e-05,6.68406069739478e-05,6.2993216993988e-05,0
1.75195875751503e-06,1.25e-08,2.52205254509018e-06,1.25e-08,2.86172344689379e-07,2.49498997995992e-08,0.000193120780561122,7.10985531062124e-05,6.60251278156314e-05,7.30843693787575e-05,0
1.8810370741483e-06,6.10597466399072e-35,2.86172344689379e-07,1.25e-08,2.40480961923848e-07,2.49498997995992e-08,0.000185133155751503,5.35088927855711e-05,6.23066368737478e-06,6.40513789178357e-05,0
1.24496897795592e-06,6.10597466399072e-35,3.19914829659318e-07,1.25e-08,2.05686372745491e-07,1.25e-08,1.73217138276553e-06,4.6258015991984e-05,3.73496993987976e-08,4.95770541082164e-07,0
1.18305326653307e-06,6.10597466399072e-35,2.63426853707415e-07,4.96993987975951e-08,2.28932865731463e-07,2.49498997995992e-08,1.50598296593186e-06,4.677622749499e-05,3.73496993987977e-08,3.21048937875752e-07,0
1.13026577154308e-06,6.10597466399072e-35,2.51978957915832e-07,4.9699398797595e-08,2.9746993987976e-07,3.73496993987975e-08,1.44751102204409e-06,3.82515781963928e-05,2.18015871743487e-07,6.20200841683367e-07,0
8.03823647294588e-07,6.10597466399072e-35,3.31062124248497e-07,3.73496993987975e-08,2.63426853707415e-07,2.49498997995992e-08,5.60087535070141e-07,3.52224097795591e-05,4.68643647294589e-07,3.54858721442886e-06,0
1.19592785571142e-06,6.10597466399072e-35,5.14823482965932e-06,4.96993987975953e-08,2.28932865731463e-07,1.25e-08,2.05686372745491e-07,4.05366834068136e-05,3.6412402244489e-05,3.42276168336676e-06,0
9.58554348697397e-07,2.49498997995992e-08,5.14823482965933e-06,3.73496993987977e-08,2.40480961923848e-07,1.25e-08,1.46693386773547e-07,4.73737745891783e-05,3.72519282965933e-05,6.9380116232465e-07,0
