Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Class
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0
0,0,0,0,0,0,5,0,0,0,0
0,0,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,12,0,0,0,0
0,0,0,0,0,0,19,0,0,0,0
0,0,0,0,0,0,28,0,0,0,0
0,0,0,0,0,0,19,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,0,0,0
0,0,0,0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,0,0,0
0,0,0,0,0,0,1,1,0,0,0
0,2,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,8,0,0
0,0,1,0,0,0,0,0,20,0,0
0,0,1,0,0,0,0,0,24,0,0
0,4,0,0,0,0,0,0,26,0,0
0,4,0,0,0,0,0,0,19,0,0
1,7,1,0,0,0,0,0,19,0,0
1,10,1,0,0,0,0,0,32,0,0
1,6,1,0,0,0,0,1,35,0,0
1,6,2,0,0,0,0,1,28,0,0
0,4,1,0,0,0,0,0,24,0,0
1,10,1,0,0,0,0,1,30,0,0
1,23,1,0,0,0,0,1,27,0,0
1,20,0,0,0,0,0,0,12,0,0
1,23,3,0,0,0,0,0,14,0,0
1,33,4,0,0,0,0,0,29,0,0
2,29,1,0,0,0,0,0,24,0,0
1,21,1,0,0,0,0,0,7,0,0
0,11,2,0,0,0,0,0,0,0,0
1,18,3,0,0,0,0,0,1,0,0
2,22,2,0,0,0,0,0,29,0,0
1,8,1,0,0,0,0,0,51,0,0
0,1,3,0,0,0,0,0,24,0,0
0,0,3,0,0,0,0,0,3,0,0
0,0,2,0,0,0,0,0,2,0,0
0,0,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,1,1,0,0
2,2,2,0,0,0,0,1,1,0,0
2,9,2,0,0,0,0,0,5,0,0
1,8,0,0,0,0,0,0,5,0,0
1,0,0,0,0,0,0,0,0,0,0
2,3,1,0,0,0,0,0,11,0,0
4,13,1,0,0,0,0,0,29,0,0
3,19,0,0,0,0,0,0,29,0,0
0,9,0,0,0,0,0,0,11,0,0
1,1,0,0,0,0,0,1,0,0,0
1,1,1,0,0,0,0,1,1,0,0
0,0,1,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
2,1,1,1,0,0,0,0,2,0,0
1,1,1,1,0,0,0,0,8,0,0
1,0,0,0,0,0,0,0,9,0,0
2,7,0,0,0,0,0,0,3,0,0
2,25,0,0,0,0,0,0,0,0,0
1,33,0,0,0,0,0,0,0,0,0
1,27,0,0,0,0,0,0,0,0,0
2,28,0,0,0,0,0,0,0,0,0
2,25,1,0,0,0,0,0,11,0,0
3,16,1,0,0,0,0,0,30,0,0
2,8,1,0,0,0,0,0,31,0,0
0,3,1,0,0,0,0,0,29,0,0
0,13,0,0,0,0,0,0,17,0,0
1,25,0,0,0,0,0,0,2,0,0
1,14,1,0,0,0,0,0,4,0,0
0,1,1,0,0,0,0,0,2,0,0
1,1,0,0,0,0,0,0,0,0,0
1,14,0,0,0,0,0,0,0,0,0
1,13,0,0,0,0,0,0,0,0,0
1,2,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,0,0,0,0
0,6,0,0,0,0,0,0,0,0,0
0,21,0,0,0,0,0,0,0,0,0
0,29,0,0,0,0,0,0,0,0,0
0,11,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0
0,6,0,0,0,0,0,0,0,0,0
1,16,0,0,0,0,0,0,0,0,0
3,15,1,1,0,0,0,1,12,1,0
7,7,1,1,0,0,0,1,19,1,0
8,2,0,0,0,0,0,0,7,0,0
4,2,0,0,0,0,0,0,0,0,0
2,7,1,1,0,0,0,1,5,1,0
1,15,2,1,0,0,0,1,7,1,0
0,11,1,0,0,0,0,0,3,0,0
1,2,0,0,0,0,0,0,2,0,0
1,1,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,1,0,0
0,0,0,1,0,0,0,0,1,0,0
0,1,1,1,0,0,0,0,2,0,0
1,2,1,1,0,0,0,0,2,0,0
1,4,0,0,0,0,0,0,0,0,0
0,8,0,0,0,0,0,0,0,0,0
0,7,0,0,0,0,0,0,0,0,0
0,6,0,0,0,0,0,0,0,0,0
1,13,0,0,0,0,0,0,0,0,0
2,32,0,0,0,0,0,0,0,0,0
1,24,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0
1,16,0,0,0,0,0,0,0,0,0
1,34,0,0,0,0,0,0,0,0,0
1,30,0,0,0,0,0,0,0,0,0
2,19,0,0,0,0,0,0,0,0,0
1,9,0,0,0,0,0,0,0,0,0
1,5,0,1,0,0,0,0,1,0,0
2,7,0,1,0,0,0,0,3,0,0
2,18,0,0,0,0,0,0,3,0,0
2,27,0,0,0,0,0,0,1,0,0
2,30,0,0,0,0,0,0,1,0,0
1,17,0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,0,0,0,0,0
2,4,0,0,0,0,0,0,0,0,0
1,4,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,2,0,0,0,0,0,0,0,0,0
1,2,0,0,0,0,0,0,0,0,0
1,2,0,0,0,0,0,0,0,0,0
1,2,0,0,0,0,0,0,0,0,0
1,3,0,0,0,0,0,0,0,0,0
2,7,0,0,0,0,0,0,0,0,0
1,4,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0
0,4,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,0,0,0,0
1,4,0,0,0,0,0,0,0,0,0
2,7,0,0,0,0,0,0,0,0,0
2,23,0,0,0,0,0,0,0,0,0
2,35,0,0,0,0,0,0,0,0,0
1,24,0,0,0,0,0,0,0,0,0
0,18,0,0,0,0,0,0,0,0,0
0,32,0,0,0,0,0,0,0,0,0
0,27,0,0,0,0,0,0,0,0,0
0,9,0,0,0,0,0,0,0,0,0
1,6,0,0,0,0,0,0,0,0,0
1,4,0,0,0,0,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0
1,2,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0
1,2,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
3,9,0,0,0,0,0,0,0,0,0
4,14,0,0,0,0,1,1,0,0,0
1,8,0,0,0,0,2,1,0,0,0
0,3,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
0,4,0,0,0,0,1,0,0,0,0
0,9,0,0,0,0,0,0,0,0,0
0,14,0,0,0,0,1,0,0,0,0
0,17,0,0,0,0,2,1,0,0,0
0,15,0,0,0,0,1,1,0,0,0
0,17,0,0,0,0,1,0,0,0,0
