Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Class
2.3112,0.02,0.09,0.02,0.1475,0.0224,0.2654,1.01,0.005,0.1212,0
2.4642,0.01,0.125,0.015,0.16,0.0292,0.6371,1.1104,0.0198,0.1728,0
2.1661,0,0.12,0.015,0.14,0.0342,0.9752,1.1015,0.0838,0.2066,0
0.8614,0,0.105,0.025,0.15,0.005,1.422,0.898800000000001,0.2316,0.5192,0
0.3248,0.0586,0.5642,0.025,0.155,0.01,2.0637,1.0184,1.0042,0.9735,0
0.3054,0.0586,0.6078,0.02,0.115,0.01,2.4029,1.1297,1.1455,0.9345,0
0.2568,0.1322,1.4882,0.015,0.09,0.02,2.4195,1.0764,2.4307,0.9511,0
0.3792,0.5284,5.8828,0.02,0.075,0.02,2.507,1.1229,6.2877,1.078,0
0.3258,0.4507,5.5836,0.015,0.11,0,2.7056,1.1079,5.2961,1.1574,0
0.2968,0.094,1.1403,0,0.135,0,2.9372,1.0051,1.4223,1.0058,0
0.2641,0.025,0.129,0.03,0.095,0.005,2.5365,0.964000000000001,0.6724,0.8445,0
0.1534,0.01,0.2026,0.035,0.105,0.01,2.1383,1.0205,0.8632,1.1709,0
0.188,0.005,0.1836,0.005,0.11,0.01,2.1116,1.0012,0.8232,1.3634,0
0.1978,0,0.115,0.005,0.09,0.01,1.0654,0.970600000000001,0.3528,0.6926,0
0.1336,0,0.125,0.005,0.075,0.005,0.1188,1.0278,0.015,0.0671,0
0.104,0,0.105,0.02,0.09,0.01,0.1536,1.0085,0.015,0.0498,0
0.104,0,0.105,0.02,0.115,0.015,0.1734,0.904300000000001,0.0348,0.0744,0
0.0895,0,0.14,0.015,0.09,0.01,0.1344,0.887500000000001,0.0596,0.1678,0
0.119,0,0.1563,0.02,0.09,0.005,0.075,0.895300000000001,0.3932,0.168,0
0.104,0.01,0.1513,0.015,0.1,0.005,0.045,0.906600000000001,0.5554,0.0944,0
0.1094,0.025,0.13,0.025,0.1,0.005,0.04,1.0576,0.384,0.0648,0
0.1836,0.025,0.213,0.03,0.1,0.01,0.025,1.1677,0.4432,0.0644,0
0.1782,0.015,0.1955,0.035,0.095,0.015,0.1866,1.0635,0.3448,0.128,0
0.1532,0.005,0.11,0.035,0.08,0.005,0.2064,0.979900000000001,0.1824,0.1478,0
0.168,0,0.1,0.02,0.055,0.005,0.1042,0.998800000000001,0.2066,0.094,0
0.1778,0.005,0.075,0.01,0.08,0.005,0.2586,1.0475,0.3734,0.317,0
0.2514,0.01,0.283,0.1372,0.085,0.005,0.9118,1.2295,0.609,0.8512,0
0.4399,0.005,1.4947,0.3646,0.0775,0.01,1.623,1.5522,2.1908,0.9916,0
0.4274,0,1.5317,0.47,0.095,0.005,2.2314,1.6459,2.263,0.895,0
0.3152,0,0.3399,0.2302,0.08,0,1.9152,1.4302,0.6116,0.8056,0
0.448,0,2.4851,1.091,0.1,0.0048,0.9711,1.3784,2.7796,0.7571,0
0.4966,0.01,3.1516,1.1258,0.115,0.0048,0.8982,1.4821,3.085,0.8233,0
0.5206,0.01,1.8138,0.7486,0.09,0.005,1.8741,1.7262,0.832,1.0745,0
0.5498,0,1.1448,0.7138,0.095,0.015,2.2911,1.8183,0.3136,1.0285,0
0.5989,0.005,0.09,0.015,0.11,0.015,1.6426,1.7069,0.0148,0.7896,0
0.5481,0.015,0.105,0.025,0.095,0.005,1.8627,1.7257,0.142,1.0312,0
0.4822,0.015,0.1125,0.02,0.115,0.005,2.0616,1.7325,0.1958,1.1328,0
0.6236,0.005,0.1342,0.025,0.15,0.005,1.3,1.953,0.2273,0.8755,0
0.6868,0,0.1542,0.025,0.1425,0,1.3432,1.9693,0.3324,0.8233,0
0.607,0,0.12,0.03,0.1175,0,1.9405,1.8716,0.255,0.993300000000001,0
2.767,0.098,0.105,0.035,0.09,0,1.462,2.2553,0.0886,0.933,0
2.6362,0.103,0.105,0.015,0.085,0,0.6327,1.9581,0.0246,0.6565,0
0.1676,0.01,0.115,0.005,0.08,0,0.3442,1.2698,0.0296,0.6273,0
0.451,0.005,0.135,0.015,0.07,0.01,0.432,1.3373,0.005,0.871800000000001,0
0.49,0,0.095,0.015,0.105,0.0346,0.8208,1.4667,0.005,0.9466,0
0.0938,0,0.09,0.01,0.11,0.0246,1.9993,1.3398,0.0198,0.978900000000001,0
0.05,0.005,0.125,0.02,0.09,0.005,1.6377,1.3042,0.0298,0.845400000000001,0
0.06,0.01,0.135,0.03,0.08,0.005,1.0838,1.2727,0.1527,0.817600000000001,0
0.102,0.0148,0.6282,0.015,0.075,0.005,2.242,1.2672,1.4235,0.919500000000001,0
0.3152,0.0098,0.6332,0.005,0.075,0.005,2.6836,1.5914,2.0994,0.910100000000001,0
0.6859,0,0.1788,0.01,0.08,0.01,3.6017,2.0061,1.8157,1.3644,0
1.5883,0,0.1588,0.01,0.1,0.03,3.6019,2.885,1.1734,1.481,0
1.6814,0.005,0.115,0.01,0.095,0.02,4.3321,3.0218,0.4192,1.2192,0
0.8405,0.005,0.5591,0.0592,0.08,0,7.6982,2.5707,0.51,1.1986,0
0.5258,0.01,0.9448,0.1084,0.07,0,10.338,2.6837,0.5974,1.4016,0
0.3858,0.025,0.4884,0.0642,0.08,0,10.4523,2.5667,0.4606,1.7281,0
0.3244,0.015,0.08,0.03,0.08,0.01,9.316,2.4733,0.1622,1.8721,0
0.3296,0.005,0.7444,0.0796,0.075,0.01,9.1653,2.4902,0.1814,2.1452,0
0.4768,0.005,0.8985,0.0646,0.085,0,9.6738,2.6,0.1372,2.1962,0
0.4912,0.005,0.2216,0.01,0.08,0,9.5741,2.6471,0,2.2466,0
0.486,0.01,0.08,0.02,0.09,0.01,9.7717,2.6346,0.2254,2.2982,0
0.5304,0.015,0.08,0.025,0.1,0.015,11.2162,2.7248,0.2254,2.242,0
0.3742,0.01,0.085,0.015,0.085,0.005,10.7307,2.4586,0.005,2.196,0
0.237,0.005,0.085,0.025,0.065,0.005,5.1312,2.1727,0.01,1.5385,0
0.1678,0.005,0.09,0.04,0.085,0.005,0.8445,2.0417,0.02,0.964900000000001,0
1.0726,0,0.9673,1.754,0.1196,0,1.1245,2.6077,0.2396,0.944900000000001,0
1.198,0,0.9498,1.749,0.1421,0,1.3098,2.5295,0.2246,0.923200000000001,0
0.296,0.005,0.08,0.02,0.12,0,1.1079,1.675,0,0.7466,0
0.1384,0.005,0.11,0.01,0.09,0.01,0.8104,1.5776,0.005,0.618,0
0.1234,0.015,0.0975,0.01,0.075,0.01,0.7304,1.4636,0.01,0.6866,0
0.163,0.025,0.0775,0.015,0.075,0.0048,1.4824,1.436,0.005,0.8157,0
0.178,0.015,0.085,0.02,0.065,0.0048,2.8676,1.5845,0.3078,0.6987,0
